customer_id,customer_name,gender,age,city,signup_date,last_purchase_date
CUST001,Customer_1,Other,25,Delhi,2022-12-09,2023-09-15
CUST002,Customer_2,Male,26,Pune,2022-02-22,2023-10-03
CUST003,Customer_3,Male,55,Hyderabad,2022-01-01,2022-05-06
CUST004,Customer_4,Male,32,Chennai,2022-10-01,2024-05-27
CUST005,Customer_5,Male,52,Hyderabad,2022-04-15,2024-01-08
CUST006,Customer_6,Female,18,Kolkata,2022-03-23,2023-06-28
CUST007,Customer_7,Female,35,Mumbai,2022-04-25,2023-05-04
CUST008,Customer_8,Male,23,Hyderabad,2022-02-12,2023-03-01
CUST009,Customer_9,Other,34,Kolkata,2022-01-24,2023-06-08
CUST010,Customer_10,Other,25,Hyderabad,2022-02-18,2023-01-14
CUST011,Customer_11,Other,41,Chennai,2022-04-23,2022-08-02
CUST012,Customer_12,Male,32,Kolkata,2022-05-03,2023-01-26
CUST013,Customer_13,Male,42,Bangalore,2022-08-21,2023-09-28
CUST014,Customer_14,Male,41,Bangalore,2022-04-22,2023-02-19
CUST015,Customer_15,Other,22,Chennai,2022-11-06,2024-06-04
CUST016,Customer_16,Other,33,Mumbai,2022-08-13,2023-06-15
CUST017,Customer_17,Other,53,Mumbai,2022-11-11,2023-02-06
CUST018,Customer_18,Male,20,Kolkata,2022-06-13,2023-04-13
CUST019,Customer_19,Male,31,Chennai,2022-12-11,2023-08-15
CUST020,Customer_20,Other,49,Hyderabad,2022-11-15,2023-05-10
CUST021,Customer_21,Female,26,Mumbai,2022-12-18,2024-07-21
CUST022,Customer_22,Female,55,Hyderabad,2022-10-13,2023-11-17
CUST023,Customer_23,Male,26,Chennai,2022-08-03,2022-10-20
CUST024,Customer_24,Male,27,Pune,2022-03-26,2023-07-01
CUST025,Customer_25,Other,22,Hyderabad,2022-07-20,2023-12-11
CUST026,Customer_26,Other,34,Chennai,2022-01-22,2022-06-18
CUST027,Customer_27,Other,52,Kolkata,2022-05-25,2024-04-10
CUST028,Customer_28,Female,25,Bangalore,2022-07-06,2023-11-12
CUST029,Customer_29,Male,34,Chennai,2022-03-17,2022-08-02
CUST030,Customer_30,Other,37,Kolkata,2022-11-17,2024-08-31
CUST031,Customer_31,Male,27,Bangalore,2022-03-18,2023-10-12
CUST032,Customer_32,Male,38,Hyderabad,2022-01-04,2023-02-09
CUST033,Customer_33,Female,33,Delhi,2022-04-19,2022-08-07
CUST034,Customer_34,Male,49,Kolkata,2022-02-25,2023-09-23
CUST035,Customer_35,Male,26,Pune,2022-08-18,2023-03-05
CUST036,Customer_36,Female,51,Kolkata,2022-10-14,2023-06-17
CUST037,Customer_37,Other,30,Pune,2022-05-13,2024-04-07
CUST038,Customer_38,Female,46,Chennai,2022-08-04,2023-05-14
CUST039,Customer_39,Male,22,Bangalore,2022-01-19,2023-09-08
CUST040,Customer_40,Male,55,Mumbai,2022-01-03,2023-11-10
CUST041,Customer_41,Male,32,Delhi,2022-01-28,2023-01-31
CUST042,Customer_42,Male,50,Mumbai,2022-05-22,2023-10-31
CUST043,Customer_43,Male,52,Mumbai,2022-12-19,2024-08-30
CUST044,Customer_44,Female,33,Kolkata,2022-08-26,2023-11-15
CUST045,Customer_45,Male,24,Delhi,2022-11-14,2023-12-11
CUST046,Customer_46,Female,44,Hyderabad,2022-12-02,2024-10-31
CUST047,Customer_47,Other,24,Delhi,2022-07-24,2023-08-05
CUST048,Customer_48,Male,33,Mumbai,2022-04-18,2023-08-20
CUST049,Customer_49,Male,45,Mumbai,2022-05-15,2023-02-24
CUST050,Customer_50,Male,46,Kolkata,2022-09-04,2022-11-24
