order_id,customer_id,order_date,product_category,product_name,quantity,price_per_unit,total_amount,discount,payment_mode,delivery_status,rating
ORD0001,CUST042,2023-09-27,Electronics,Electronics_Item_3,2,1562,3124,15,COD,Returned,2
ORD0002,CUST026,2023-01-06,Beauty,Beauty_Item_1,4,2372,9488,30,COD,Returned,4
ORD0003,CUST045,2023-12-26,Sports,Sports_Item_16,2,1755,3510,10,Credit Card,Delivered,5
ORD0004,CUST048,2023-09-02,Books,Books_Item_11,1,610,610,20,COD,Cancelled,5
ORD0005,CUST011,2023-01-17,Electronics,Electronics_Item_6,1,756,756,25,Credit Card,Returned,1
ORD0006,CUST037,2023-04-19,Sports,Sports_Item_2,5,871,4355,15,Debit Card,Returned,2
ORD0007,CUST043,2023-12-11,Fashion,Fashion_Item_9,4,1272,5088,25,Debit Card,Returned,3
ORD0008,CUST049,2023-02-01,Beauty,Beauty_Item_20,5,1019,5095,0,Credit Card,Cancelled,3
ORD0009,CUST009,2023-06-03,Fashion,Fashion_Item_12,3,1492,4476,15,Debit Card,Cancelled,5
ORD0010,CUST001,2023-11-27,Sports,Sports_Item_10,1,1300,1300,10,UPI,Delivered,5
ORD0011,CUST010,2023-05-10,Sports,Sports_Item_7,3,1867,5601,25,Debit Card,Cancelled,4
ORD0012,CUST017,2023-01-03,Books,Books_Item_14,3,561,1683,0,Debit Card,Delivered,3
ORD0013,CUST011,2023-12-15,Sports,Sports_Item_14,5,279,1395,0,UPI,Cancelled,2
ORD0014,CUST035,2023-01-27,Home,Home_Item_19,5,1413,7065,15,Credit Card,Delivered,3
ORD0015,CUST024,2023-01-12,Fashion,Fashion_Item_8,1,3097,3097,30,COD,Cancelled,2
ORD0016,CUST016,2023-03-26,Fashion,Fashion_Item_14,1,1669,1669,25,Debit Card,Returned,2
ORD0017,CUST018,2023-03-26,Books,Books_Item_4,4,517,2068,30,COD,Delivered,2
ORD0018,CUST030,2023-06-10,Fashion,Fashion_Item_8,1,1782,1782,15,Debit Card,Returned,1
ORD0019,CUST050,2023-05-12,Books,Books_Item_17,4,4592,18368,10,UPI,Delivered,3
ORD0020,CUST012,2023-10-09,Electronics,Electronics_Item_4,5,3759,18795,10,Debit Card,Returned,5
ORD0021,CUST033,2023-02-13,Sports,Sports_Item_7,3,563,1689,25,COD,Delivered,5
ORD0022,CUST035,2023-11-24,Books,Books_Item_7,3,3733,11199,0,Debit Card,Cancelled,3
ORD0023,CUST043,2023-02-24,Home,Home_Item_17,3,3545,10635,10,COD,Cancelled,3
ORD0024,CUST036,2023-03-07,Beauty,Beauty_Item_13,2,4862,9724,10,COD,Cancelled,1
ORD0025,CUST020,2023-05-07,Beauty,Beauty_Item_19,5,2839,14195,15,COD,Returned,2
ORD0026,CUST033,2023-08-26,Books,Books_Item_6,1,2524,2524,20,Debit Card,Delivered,2
ORD0027,CUST044,2023-05-08,Fashion,Fashion_Item_5,1,578,578,5,COD,Cancelled,1
ORD0028,CUST030,2023-07-21,Sports,Sports_Item_7,4,4249,16996,15,Credit Card,Delivered,1
ORD0029,CUST049,2023-02-25,Beauty,Beauty_Item_8,2,4443,8886,15,UPI,Cancelled,2
ORD0030,CUST008,2023-08-05,Beauty,Beauty_Item_17,5,2799,13995,30,COD,Cancelled,5
ORD0031,CUST028,2023-09-15,Fashion,Fashion_Item_16,4,2323,9292,30,Credit Card,Cancelled,3
ORD0032,CUST050,2023-09-16,Books,Books_Item_8,3,3803,11409,0,Debit Card,Delivered,3
ORD0033,CUST022,2023-06-18,Electronics,Electronics_Item_5,2,2094,4188,15,Credit Card,Cancelled,2
ORD0034,CUST005,2023-07-14,Home,Home_Item_18,4,3606,14424,0,Credit Card,Returned,4
ORD0035,CUST050,2023-10-23,Electronics,Electronics_Item_19,4,4107,16428,0,Debit Card,Returned,4
ORD0036,CUST027,2023-09-24,Books,Books_Item_18,5,2006,10030,15,Credit Card,Returned,4
ORD0037,CUST032,2023-01-13,Home,Home_Item_13,2,4028,8056,5,UPI,Returned,5
ORD0038,CUST037,2023-11-01,Electronics,Electronics_Item_14,2,3982,7964,5,UPI,Returned,4
ORD0039,CUST021,2023-04-15,Home,Home_Item_11,4,2479,9916,30,COD,Returned,1
ORD0040,CUST031,2023-01-24,Sports,Sports_Item_2,3,2036,6108,25,UPI,Cancelled,1
ORD0041,CUST049,2023-01-08,Fashion,Fashion_Item_1,5,1448,7240,5,Credit Card,Returned,1
ORD0042,CUST037,2023-04-15,Books,Books_Item_9,3,1574,4722,20,UPI,Delivered,3
ORD0043,CUST007,2023-10-01,Home,Home_Item_19,4,3449,13796,25,Credit Card,Delivered,5
ORD0044,CUST045,2023-11-08,Electronics,Electronics_Item_10,5,1191,5955,30,UPI,Returned,5
ORD0045,CUST028,2023-11-12,Electronics,Electronics_Item_17,3,303,909,30,COD,Returned,1
ORD0046,CUST028,2023-06-21,Beauty,Beauty_Item_5,4,1642,6568,25,Debit Card,Cancelled,5
ORD0047,CUST050,2023-08-15,Beauty,Beauty_Item_19,3,2840,8520,30,Credit Card,Delivered,3
ORD0048,CUST029,2023-04-25,Beauty,Beauty_Item_19,5,3304,16520,10,UPI,Returned,3
ORD0049,CUST012,2023-08-07,Home,Home_Item_9,3,2490,7470,20,Debit Card,Cancelled,1
ORD0050,CUST034,2023-04-03,Fashion,Fashion_Item_14,4,4748,18992,30,Credit Card,Cancelled,4
